Region,Variable,Category,Base_Value,Exp_2pct,Exp_5pct,Exp_10pct,Chg_2pct,Chg_5pct,Chg_10pct,PctChg_2pct,PctChg_5pct,PctChg_10pct
Oth_Eurorpe,VXMD_Info_Imports,Trade,84084.9000,84092.0000,84101.8000,84116.2000,7.1000,16.9000,31.3000,0.008444,0.020099,0.037224
Oth_S_Asia,VXMD_Info_Imports,Trade,9119.1900,9119.4600,9119.8100,9120.3100,0.2700,0.6200,1.1200,0.002961,0.006799,0.012282
Oth_S_Euro,VXMD_Info_Imports,Trade,57775.5000,57781.3000,57789.4000,57801.5000,5.8000,13.9000,26.0000,0.010039,0.024059,0.045002
PAK,VXMD_Info_Imports,Trade,347.4110,347.4340,347.4650,347.5110,0.0230,0.0540,0.1000,0.006620,0.015544,0.028784
PHL,VXMD_Info_Imports,Trade,1226.9600,1227.0300,1227.1100,1227.2400,0.0700,0.1500,0.2800,0.005705,0.012225,0.022821
POL,VXMD_Info_Imports,Trade,77.3293,77.3336,77.3398,77.3497,0.0043,0.0105,0.0204,0.005561,0.013578,0.026381
PRT,VXMD_Info_Imports,Trade,194.6020,194.7770,195.0360,195.4540,0.1750,0.4340,0.8520,0.089927,0.223019,0.437817
ROU,VXMD_Info_Imports,Trade,32.7363,32.7346,32.7319,32.7268,-0.0017,-0.0044,-0.0095,-0.005193,-0.013441,-0.029020
ROW,VXMD_Info_Imports,Trade,0.7015,0.7016,0.7016,0.7017,0.0000,0.0001,0.0001,0.004704,0.010976,0.019671
RUS,VXMD_Info_Imports,Trade,662.0090,662.1450,662.3390,662.6410,0.1360,0.3300,0.6320,0.020544,0.049848,0.095467
R_L_America,VXMD_Info_Imports,Trade,52796.2000,52799.0000,52802.9000,52808.4000,2.8000,6.7000,12.2000,0.005303,0.012690,0.023108
R_N_America,VXMD_Info_Imports,Trade,19213.2000,19216.4000,19220.8000,19227.2000,3.2000,7.6000,14.0000,0.016655,0.039556,0.072867
SGP,VXMD_Info_Imports,Trade,1084.2500,1084.3500,1084.4800,1084.6800,0.1000,0.2300,0.4300,0.009223,0.021213,0.039659
SVK,VXMD_Info_Imports,Trade,79.2928,79.2921,79.2913,79.2906,-0.0007,-0.0015,-0.0022,-0.000883,-0.001892,-0.002775
SVN,VXMD_Info_Imports,Trade,716.0670,716.1170,716.1850,716.2830,0.0500,0.1180,0.2160,0.006983,0.016479,0.030165
SWE,VXMD_Info_Imports,Trade,1794.0600,1794.6700,1795.5600,1796.9500,0.6100,1.5000,2.8900,0.034001,0.083609,0.161087
Sb_Sh_Africa,VXMD_Info_Imports,Trade,6612.0500,6612.2600,6612.5400,6612.9300,0.2100,0.4900,0.8800,0.003176,0.007411,0.013309
THA,VXMD_Info_Imports,Trade,2080.2600,2080.5000,2080.8300,2081.3200,0.2400,0.5700,1.0600,0.011537,0.027400,0.050955
TWN,VXMD_Info_Imports,Trade,476.3060,476.3390,476.3850,476.4530,0.0330,0.0790,0.1470,0.006928,0.016586,0.030863
USA,VXMD_Info_Imports,Trade,8946.1400,8947.0000,8948.2500,8950.2500,0.8600,2.1100,4.1100,0.009613,0.023586,0.045942
VNM,VXMD_Info_Imports,Trade,2478.4800,2478.6000,2478.7500,2478.9800,0.1200,0.2700,0.5000,0.004842,0.010894,0.020174
XOC,VXMD_Info_Imports,Trade,660.2360,660.2870,660.3560,660.4560,0.0510,0.1200,0.2200,0.007725,0.018175,0.033321
ZAF,VXMD_Info_Imports,Trade,36.4961,36.4979,36.5005,36.5044,0.0018,0.0044,0.0083,0.004932,0.012056,0.022742
